Start Time,End Time,Content,Speaker
"00:00:00,120","00:00:01,439",would like to respond let me just ask,MOD
"00:00:01,439","00:00:03,280",though why did you try to kill that bill,MOD
"00:00:03,280","00:00:04,960",and successfully so that would have put,MOD
"00:00:04,960","00:00:06,440",thousands of additional agents and,MOD
"00:00:06,440","00:00:07,720",officers On the Border first let me,MOD
"00:00:07,720","00:00:10,000",respond us to the rallies she said,TRUMP
"00:00:10,000","00:00:11,639",people start leaving people don't go to,TRUMP
"00:00:11,639","00:00:14,200",her rallies there's no reason to go and,TRUMP
"00:00:14,200","00:00:15,920",the people that do go she's busing them,TRUMP
"00:00:15,920","00:00:18,960",in and paying them to be there and then,TRUMP
"00:00:18,960","00:00:21,720",showing them in a different light so she,TRUMP
"00:00:21,720","00:00:23,199",can't talk about that people don't leave,TRUMP
"00:00:23,199","00:00:25,080",my rallies we have the biggest rallies,TRUMP
"00:00:25,080","00:00:26,599",the most incredible rallies in the,TRUMP
"00:00:26,599","00:00:28,359",history of politics that's because,TRUMP
"00:00:28,359","00:00:30,679",people want to take their country back,TRUMP
"00:00:30,679","00:00:32,719",our country is being lost we're a,TRUMP
"00:00:32,719","00:00:35,200",failing nation and it happened three and,TRUMP
"00:00:35,200","00:00:38,280",a half years ago and what what's going,TRUMP
"00:00:38,280","00:00:39,960",on here you're going to end up in World,TRUMP
"00:00:39,960","00:00:42,600",War II just to go into another subject,TRUMP
"00:00:42,600","00:00:44,480",what they have done to our country by,TRUMP
"00:00:44,480","00:00:46,840",allowing these millions and millions of,TRUMP
"00:00:46,840","00:00:48,920",people to come into our country and look,TRUMP
"00:00:48,920","00:00:50,920",at what's happening to the towns all,TRUMP
"00:00:50,920","00:00:52,719",over the United States and a lot of,TRUMP
"00:00:52,719","00:00:54,160",towns don't want to talk not going to be,TRUMP
"00:00:54,160","00:00:56,399",Aurora or Springfield a lot of towns,TRUMP
"00:00:56,399","00:00:57,640",don't want to talk about it because,TRUMP
"00:00:57,640","00:01:00,199",they're so embarrassed by it in Spring,TRUMP
"00:01:00,199","00:01:03,160",field they're eating the dogs the people,TRUMP
"00:01:03,160","00:01:05,400",that came in they're eating the cats,TRUMP
"00:01:05,400","00:01:08,720",they're eating they're eating the pets,TRUMP
"00:01:08,720","00:01:11,560",of the people that live there and this,TRUMP
"00:01:11,560","00:01:13,880",is what's happening in our country and,TRUMP
"00:01:13,880","00:01:16,960",it's a shame as far as rallies are,TRUMP
"00:01:16,960","00:01:19,520",concerned as far as the reason they go,TRUMP
"00:01:19,520","00:01:21,560",is they like what I say they want to,TRUMP
"00:01:21,560","00:01:23,960",bring our country back they want to make,TRUMP
"00:01:23,960","00:01:25,600",America great again it's very simple,TRUMP
"00:01:25,600","00:01:28,360",phrase make America great again she's,TRUMP
"00:01:28,360","00:01:30,320",destroying this country and and if she,TRUMP
"00:01:30,320","00:01:32,560",becomes president this country doesn't,TRUMP
"00:01:32,560","00:01:34,920",have a chance of success not only,TRUMP
"00:01:34,920","00:01:38,200",success will end up being Venezuela on,TRUMP
"00:01:38,200","00:01:40,240",steroids I just want to clarify here you,TRUMP
"00:01:40,240","00:01:43,399",rig up Springfield Ohio and ABC News did,TRUMP
"00:01:43,399","00:01:45,040",reach out to the city manager there uh,TRUMP
"00:01:45,040","00:01:47,000",he told us there have been no credible,TRUMP
"00:01:47,000","00:01:48,960",reports of specific claims of pets being,TRUMP
"00:01:48,960","00:01:51,560",harmed injured or abused by individuals,TRUMP
"00:01:51,560","00:01:53,280",within the Immigrant Community all I've,TRUMP
"00:01:53,280","00:01:54,640",seen people on televis let me just say,TRUMP
"00:01:54,640","00:01:56,719",here this is people on television say my,TRUMP
"00:01:56,719","00:02:00,159",dog was taken and used for food so maybe,TRUMP
"00:02:00,159","00:02:01,600",he said that and maybe that's a good,TRUMP
"00:02:01,600","00:02:03,439",thing to say for a city manager I'm not,TRUMP
"00:02:03,439","00:02:05,320",taking this from Tel people television,TRUMP
"00:02:05,320","00:02:08,360",say the dog was eaten by the people that,TRUMP
"00:02:08,360","00:02:11,039",went there,TRUMP
